序号,标题,接口名称,测试URL,IMEI/UUID,"platform
（android/iOS）","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）","if_token
(yes/no)",预期返回包含的内容
31,面板-查询-无效被访问者id-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""3"",  ""toFeedId"" : ""c_3337"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""error"""
32,面板-查询-访问面类型1-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""1"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""success"""
33,面板-查询-访问面类型2-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""2"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""success"""
34,面板-查询-访问面类型3-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""3"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""success"""
35,面板-查询-无效访问面类型0-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""0"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""error"""
36,面板-查询-无效访问面类型4-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""4"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""error"""
37,面板-查询-访问面类型2-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""2"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""success"""
38,面板-查询-访问面类型3-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""3"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""success"""
39,面板-查询-无效访问面类型0-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""0"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""error"""
40,面板-查询-无效访问面类型4-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""4"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""error"""
41,名片-更新-昵称-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test"" }",yes,"""result"":""success"""
42,名片-更新-推广语-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"" }",yes,"""result"":""success"""
43,名片-更新-图片-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""avatarId"" : ""http://static1.sqtoon.com/share/card/socialcard.jpg"" }",yes,"""result"":""success"""
44,名片-更新-背景图片-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""backgroundId"" : ""http://static1.sqtoon.com/share/card/socialcard.jpg"" }",yes,"""result"":""success"""
45,名片-更新-交换方法1-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""joinMethod"" : 1 }",yes,"""result"":""success"""
46,名片-更新-交换方法2-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""joinMethod"" : 2 }",yes,"""result"":""success"""
47,名片-更新-交换方法3-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""joinMethod"" : 3 }",yes,"""result"":""success"""
48,名片-更新-名片号字符-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""cardNumber"" : ""TestCardNumber"" }",yes,"""result"":""success"""
49,名片-更新-名片号数值-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""cardNumber"" : 1234 }",yes,"""result"":""success"""
50,名片-更新-搜索状态0-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""searchStatus"" : 0 }",yes,"""result"":""success"""
51,名片-更新-搜索状态1-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""searchStatus"" : 1 }",yes,"""result"":""success"""
52,名片-更新-名片传播子分类-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""spreadSubCategorys"" : ""test,auto"" }",yes,"""result"":""success"""
53,名片-更新-LBS位置状态0-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""lbsStatus"" : 0 }",yes,"""result"":""success"""
54,名片-更新-LBS位置状态1-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""lbsStatus"" : 1 }",yes,"""result"":""success"""
55,名片-更新-LBS位置状态2-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""lbsStatus"" : 2 }",yes,"""result"":""success"""
56,名片-更新-位置明细-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""lbsStatus"" : 2, ""locationDetail"" : ""Beijing"" }",yes,"""result"":""success"""
57,名片-更新-位置坐标-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""lbsStatus"" : 2, ""locationDetail"" : ""Beijing"", ""locationCoordinate"" : ""123456.7"" }",yes,"""result"":""success"""
58,名片-更新-使用状态0-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""useStatus"" : 0 }",yes,"""result"":""success"""
59,名片-更新-使用状态1-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""useStatus"" : 1 }",yes,"""result"":""success"""
60,名片-更新-使用状态2-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""useStatus"" : 2 }",yes,"""result"":""success"""
61,名片-更新-使用状态3-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""useStatus"" : 3 }",yes,"""result"":""success"""
62,名片-更新-性别0-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""sex"" : 0 }",yes,"""result"":""success"""
63,名片-更新-性别1-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""sex"" : 1 }",yes,"""result"":""success"""
64,名片-更新-年龄50-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""age"" : 50 }",yes,"""result"":""success"""
65,名片-更新-时间戳-失败,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""version"" : 160 }",yes,"""result"":""success"""
66,名片-获取-成功,card/obtainCard,http://172.28.6.111:8080/card/obtainCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""version"" : 1000 }",yes,"""result"":""success"""
67,名片-获取-无效feedId-失败,card/obtainCard,http://172.28.6.111:8080/card/obtainCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_1111333763"",  ""version"" : 1000 }",yes,"""result"":""error"""
68,名片-获取配置字段-成功,card/obtainCardFieldConfig,http://172.28.6.111:8080/card/obtainCardFieldConfig,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,{},yes,"""result"":""success"""
69,名片-获取配置字段-时间戳-成功,card/obtainCardFieldConfig,http://172.28.6.111:8080/card/obtainCardFieldConfig,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""version"" : 1000 }",yes,"""result"":""success"""
70,名片-添加名片推荐-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 1, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
71,名片-添加名片推荐-用户id-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 1, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
72,名片-添加名片推荐-推荐状态1-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 1, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
73,名片-添加名片推荐-推荐状态2-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 2, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
74,名片-添加名片推荐-推荐状态3-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 3, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
75,名片-添加名片推荐-时间戳-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 2, ""nickname"" : ""Jason"", ""version"": 1000}",yes,"""result"":""success"""
76,名片-更新名片推荐-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""recommendFeedId"" : ""c_336110"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
77,名片-更新名片推荐-用户id-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""324527"", ""recommendFeedId"" : ""c_336110"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
78,名片-更新名片推荐-无效名片id-失败,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""336109"", ""recommendFeedId"" : ""c_336110"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""error"""
79,名片-更新名片推荐-推荐原因-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"", ""recommendFeedId"" : ""c_336110"", ""recommendReason"" : ""好朋友"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
80,名片-更新名片推荐-推荐状态1-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"", ""recommendFeedId"" : ""c_336110"", ""recommendReason"" : ""好朋友"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
